ORÇAMENTO - VW PASSAT B6 3.2 V6 2009 - CONJUNTO PARACHOQUE DIANTEIRO
Data:,09/06/2026
Câmbio referência:,USD 5,19
Condição:,Peças novas originais importadas (desembaraçadas no Brasil)
,,,,,,
#,Peça,Referência OEM,Qtd.,Valor Unit. (R$),Total (R$)
1,Farol dianteiro bi-xenon (Hella/Valeo),3C0941005M,1,"R$ 4.885,00","R$ 4.885,00"
2,Grade central superior cromada,3C0853651E,1,"R$ 1.856,00","R$ 1.856,00"
3,Grade central inferior,3C0853677,1,"R$ 1.021,00","R$ 1.021,00"
4,Absorvedor de impacto EPS,3C0807248A,1,"R$ 881,00","R$ 881,00"
5,Suporte bocal limpador de faróis (par esq.+dir.),3C0955109A+3C0955110A,1 par,"R$ 417,00","R$ 417,00"
6,Parachoque dianteiro original,3C0807221A,1,"R$ 2.975,00","R$ 2.975,00"
,,,,TOTAL,"R$ 12.035,00"
,,,,,,
Obs.:,"Valores já incluem: frete internacional, impostos (II+ICMS), seguro e despachante aduaneiro."
Obs.:,"Parachoque pode ser encomendado via concessionária VW no Brasil (prazo 4-8 semanas)."
Obs.:,"Câmbio e impostos sujeitos a variação na data do embarque."
